RegionType,Location Name,CBSACode,Year-Month,MortgageData
State,North Carolina,37',2008-04,3.3%
State,North Dakota,38',2008-04,1.4%
State,Ohio,39',2008-04,3.2%
State,Oklahoma,40',2008-04,3.0%
State,Oregon,41',2008-04,1.8%
State,Pennsylvania,42',2008-04,3.2%
State,Rhode Island,44',2008-04,3.0%
State,South Carolina,45',2008-04,3.5%
State,South Dakota,46',2008-04,1.6%
State,Tennessee,47',2008-04,3.9%
State,Texas,48',2008-04,3.7%
State,Utah,49',2008-04,2.2%
State,Vermont,50',2008-04,1.9%
State,Virginia,51',2008-04,2.5%
State,Washington,53',2008-04,1.8%
State,West Virginia,54',2008-04,3.6%
State,Wisconsin,55',2008-04,1.9%
State,Wyoming,56',2008-04,2.0%
National,United States,-----,2008-05,3.2%
State,Alabama,01',2008-05,4.0%
State,Alaska,02',2008-05,2.0%
State,Arizona,04',2008-05,3.4%
State,Arkansas,05',2008-05,3.4%
State,California,06',2008-05,2.9%
State,Colorado,08',2008-05,2.6%
State,Connecticut,09',2008-05,2.8%
State,Delaware,10',2008-05,3.0%
State,District of Columbia,11',2008-05,2.6%
State,Florida,12',2008-05,4.2%
State,Georgia,13',2008-05,4.4%
State,Hawaii,15',2008-05,1.6%
State,Idaho,16',2008-05,2.5%
State,Illinois,17',2008-05,3.0%
State,Indiana,18',2008-05,3.9%
State,Iowa,19',2008-05,2.4%
State,Kansas,20',2008-05,2.7%
State,Kentucky,21',2008-05,3.5%
State,Louisiana,22',2008-05,3.6%
State,Maine,23',2008-05,2.8%
State,Maryland,24',2008-05,3.2%
State,Massachusetts,25',2008-05,2.6%
State,Michigan,26',2008-05,4.2%
State,Minnesota,27',2008-05,2.5%
State,Mississippi,28',2008-05,5.1%
State,Missouri,29',2008-05,3.5%
State,Montana,30',2008-05,2.1%
State,Nebraska,31',2008-05,2.3%
State,Nevada,32',2008-05,3.7%
State,New Hampshire,33',2008-05,2.9%
State,New Jersey,34',2008-05,2.7%
State,New Mexico,35',2008-05,2.7%
State,New York,36',2008-05,2.8%
State,North Carolina,37',2008-05,3.7%
State,North Dakota,38',2008-05,1.3%
State,Ohio,39',2008-05,3.3%
State,Oklahoma,40',2008-05,3.3%
State,Oregon,41',2008-05,1.8%
State,Pennsylvania,42',2008-05,3.4%
State,Rhode Island,44',2008-05,3.2%
State,South Carolina,45',2008-05,3.9%
State,South Dakota,46',2008-05,1.6%
State,Tennessee,47',2008-05,4.2%
State,Texas,48',2008-05,3.9%
State,Utah,49',2008-05,2.1%
State,Vermont,50',2008-05,1.8%
State,Virginia,51',2008-05,2.7%
State,Washington,53',2008-05,1.9%
State,West Virginia,54',2008-05,4.0%
State,Wisconsin,55',2008-05,2.0%
State,Wyoming,56',2008-05,2.1%
National,United States,-----,2008-06,3.2%
State,Alabama,01',2008-06,3.9%
State,Alaska,02',2008-06,2.2%
State,Arizona,04',2008-06,3.4%
State,Arkansas,05',2008-06,3.5%
State,California,06',2008-06,2.9%
State,Colorado,08',2008-06,2.4%
State,Connecticut,09',2008-06,2.7%
State,Delaware,10',2008-06,3.1%
State,District of Columbia,11',2008-06,2.9%
State,Florida,12',2008-06,4.1%
State,Georgia,13',2008-06,4.3%
State,Hawaii,15',2008-06,1.6%
State,Idaho,16',2008-06,2.6%
State,Illinois,17',2008-06,3.0%
State,Indiana,18',2008-06,3.8%
State,Iowa,19',2008-06,2.3%
State,Kansas,20',2008-06,2.6%
State,Kentucky,21',2008-06,3.3%
State,Louisiana,22',2008-06,3.5%
State,Maine,23',2008-06,2.7%
State,Maryland,24',2008-06,3.2%
State,Massachusetts,25',2008-06,2.6%
State,Michigan,26',2008-06,4.2%
State,Minnesota,27',2008-06,2.4%
State,Mississippi,28',2008-06,4.9%
State,Missouri,29',2008-06,3.6%
State,Montana,30',2008-06,1.7%
State,Nebraska,31',2008-06,2.3%
State,Nevada,32',2008-06,3.8%
State,New Hampshire,33',2008-06,2.6%
State,New Jersey,34',2008-06,2.7%
State,New Mexico,35',2008-06,2.7%
State,New York,36',2008-06,2.8%
State,North Carolina,37',2008-06,3.5%
State,North Dakota,38',2008-06,1.4%
State,Ohio,39',2008-06,3.3%
State,Oklahoma,40',2008-06,3.2%
State,Oregon,41',2008-06,1.8%
State,Pennsylvania,42',2008-06,3.4%
State,Rhode Island,44',2008-06,3.5%
State,South Carolina,45',2008-06,3.7%
State,South Dakota,46',2008-06,1.4%
State,Tennessee,47',2008-06,4.0%
State,Texas,48',2008-06,3.8%
State,Utah,49',2008-06,2.1%
State,Vermont,50',2008-06,1.8%
State,Virginia,51',2008-06,2.6%
State,Washington,53',2008-06,1.9%
State,West Virginia,54',2008-06,4.0%
State,Wisconsin,55',2008-06,2.0%
State,Wyoming,56',2008-06,2.1%
National,United States,-----,2008-07,3.4%
State,Alabama,01',2008-07,4.2%
State,Alaska,02',2008-07,2.1%
State,Arizona,04',2008-07,3.6%
State,Arkansas,05',2008-07,3.4%
State,California,06',2008-07,3.1%
State,Colorado,08',2008-07,2.5%
State,Connecticut,09',2008-07,2.9%
State,Delaware,10',2008-07,3.3%
State,District of Columbia,11',2008-07,2.9%
State,Florida,12',2008-07,4.2%
State,Georgia,13',2008-07,4.4%
State,Hawaii,15',2008-07,1.8%
State,Idaho,16',2008-07,2.6%
State,Illinois,17',2008-07,3.2%
State,Indiana,18',2008-07,4.0%
State,Iowa,19',2008-07,2.4%
State,Kansas,20',2008-07,2.8%
State,Kentucky,21',2008-07,3.4%
State,Louisiana,22',2008-07,3.6%
State,Maine,23',2008-07,2.9%
State,Maryland,24',2008-07,3.4%
State,Massachusetts,25',2008-07,2.9%
State,Michigan,26',2008-07,4.4%
State,Minnesota,27',2008-07,2.5%
State,Mississippi,28',2008-07,5.0%
State,Missouri,29',2008-07,3.6%
State,Montana,30',2008-07,2.0%
State,Nebraska,31',2008-07,2.3%
State,Nevada,32',2008-07,3.9%
State,New Hampshire,33',2008-07,3.0%
State,New Jersey,34',2008-07,2.9%
State,New Mexico,35',2008-07,2.9%
State,New York,36',2008-07,3.0%
State,North Carolina,37',2008-07,3.7%
State,North Dakota,38',2008-07,1.5%
State,Ohio,39',2008-07,3.5%
State,Oklahoma,40',2008-07,3.4%
State,Oregon,41',2008-07,1.9%
State,Pennsylvania,42',2008-07,3.5%
State,Rhode Island,44',2008-07,3.5%
State,South Carolina,45',2008-07,3.8%
State,South Dakota,46',2008-07,1.7%
State,Tennessee,47',2008-07,4.3%
State,Texas,48',2008-07,4.0%
State,Utah,49',2008-07,2.3%
State,Vermont,50',2008-07,2.1%
State,Virginia,51',2008-07,2.8%
State,Washington,53',2008-07,2.0%
State,West Virginia,54',2008-07,3.9%
State,Wisconsin,55',2008-07,2.1%
State,Wyoming,56',2008-07,2.0%
National,United States,-----,2008-08,3.6%
State,Alabama,01',2008-08,4.6%
State,Alaska,02',2008-08,2.3%
State,Arizona,04',2008-08,4.0%
State,Arkansas,05',2008-08,3.8%
State,California,06',2008-08,3.2%
State,Colorado,08',2008-08,2.5%
State,Connecticut,09',2008-08,3.1%
State,Delaware,10',2008-08,3.6%
State,District of Columbia,11',2008-08,3.1%
State,Florida,12',2008-08,4.6%
State,Georgia,13',2008-08,4.7%
State,Hawaii,15',2008-08,1.8%
State,Idaho,16',2008-08,2.7%
State,Illinois,17',2008-08,3.3%
State,Indiana,18',2008-08,4.2%
State,Iowa,19',2008-08,2.5%
State,Kansas,20',2008-08,3.0%
State,Kentucky,21',2008-08,3.8%
State,Louisiana,22',2008-08,4.1%
State,Maine,23',2008-08,3.4%
State,Maryland,24',2008-08,3.7%
State,Massachusetts,25',2008-08,3.0%
State,Michigan,26',2008-08,4.5%
State,Minnesota,27',2008-08,2.6%
State,Mississippi,28',2008-08,5.6%
State,Missouri,29',2008-08,3.9%
State,Montana,30',2008-08,2.0%
State,Nebraska,31',2008-08,2.6%
State,Nevada,32',2008-08,4.3%
State,New Hampshire,33',2008-08,3.0%
State,New Jersey,34',2008-08,3.2%
State,New Mexico,35',2008-08,3.1%
State,New York,36',2008-08,3.2%
State,North Carolina,37',2008-08,4.1%
State,North Dakota,38',2008-08,1.6%
State,Ohio,39',2008-08,3.7%
State,Oklahoma,40',2008-08,3.9%
State,Oregon,41',2008-08,2.0%
State,Pennsylvania,42',2008-08,3.7%
State,Rhode Island,44',2008-08,3.8%
State,South Carolina,45',2008-08,4.3%
State,South Dakota,46',2008-08,1.9%
State,Tennessee,47',2008-08,4.5%
State,Texas,48',2008-08,4.3%
State,Utah,49',2008-08,2.4%
State,Vermont,50',2008-08,2.0%
State,Virginia,51',2008-08,3.0%
State,Washington,53',2008-08,2.0%
State,West Virginia,54',2008-08,4.3%
State,Wisconsin,55',2008-08,2.3%
State,Wyoming,56',2008-08,2.6%
National,United States,-----,2008-09,3.6%
State,Alabama,01',2008-09,4.5%
State,Alaska,02',2008-09,2.0%
State,Arizona,04',2008-09,4.1%
State,Arkansas,05',2008-09,3.9%
State,California,06',2008-09,3.4%
State,Colorado,08',2008-09,2.5%
State,Connecticut,09',2008-09,3.1%
State,Delaware,10',2008-09,3.4%
State,District of Columbia,11',2008-09,3.1%
State,Florida,12',2008-09,4.7%
State,Georgia,13',2008-09,4.8%
State,Hawaii,15',2008-09,1.8%
State,Idaho,16',2008-09,2.7%
State,Illinois,17',2008-09,3.4%
State,Indiana,18',2008-09,4.3%
State,Iowa,19',2008-09,2.7%
State,Kansas,20',2008-09,3.1%
State,Kentucky,21',2008-09,3.7%
State,Louisiana,22',2008-09,4.1%
State,Maine,23',2008-09,3.3%
State,Maryland,24',2008-09,3.8%
State,Massachusetts,25',2008-09,3.0%
State,Michigan,26',2008-09,4.6%
State,Minnesota,27',2008-09,2.6%
State,Mississippi,28',2008-09,5.6%
State,Missouri,29',2008-09,3.7%
State,Montana,30',2008-09,2.1%
State,Nebraska,31',2008-09,2.5%
State,Nevada,32',2008-09,4.4%
State,New Hampshire,33',2008-09,3.1%
State,New Jersey,34',2008-09,3.1%
State,New Mexico,35',2008-09,2.9%
State,New York,36',2008-09,3.3%
State,North Carolina,37',2008-09,3.9%
State,North Dakota,38',2008-09,1.7%
State,Ohio,39',2008-09,3.7%
State,Oklahoma,40',2008-09,3.7%
State,Oregon,41',2008-09,2.1%
State,Pennsylvania,42',2008-09,3.7%
State,Rhode Island,44',2008-09,3.9%
State,South Carolina,45',2008-09,4.2%
State,South Dakota,46',2008-09,1.8%
State,Tennessee,47',2008-09,4.5%
State,Texas,48',2008-09,4.4%
State,Utah,49',2008-09,2.5%
State,Vermont,50',2008-09,2.1%
State,Virginia,51',2008-09,3.1%
State,Washington,53',2008-09,2.1%
State,West Virginia,54',2008-09,4.0%
State,Wisconsin,55',2008-09,2.3%
State,Wyoming,56',2008-09,2.6%
National,United States,-----,2008-10,3.8%
State,Alabama,01',2008-10,4.8%
State,Alaska,02',2008-10,1.3%
State,Arizona,04',2008-10,4.3%
State,Arkansas,05',2008-10,4.1%
State,California,06',2008-10,3.5%
State,Colorado,08',2008-10,2.7%
State,Connecticut,09',2008-10,3.3%
State,Delaware,10',2008-10,3.9%
State,District of Columbia,11',2008-10,3.2%
State,Florida,12',2008-10,5.0%
State,Georgia,13',2008-10,5.1%
State,Hawaii,15',2008-10,2.1%
State,Idaho,16',2008-10,2.9%
State,Illinois,17',2008-10,3.5%
State,Indiana,18',2008-10,4.4%
State,Iowa,19',2008-10,2.7%
State,Kansas,20',2008-10,3.3%
State,Kentucky,21',2008-10,3.9%
State,Louisiana,22',2008-10,4.1%
State,Maine,23',2008-10,3.3%
State,Maryland,24',2008-10,4.0%
State,Massachusetts,25',2008-10,3.1%
State,Michigan,26',2008-10,4.7%
State,Minnesota,27',2008-10,2.6%
State,Mississippi,28',2008-10,5.9%
State,Missouri,29',2008-10,3.9%
State,Montana,30',2008-10,2.0%
State,Nebraska,31',2008-10,2.7%
State,Nevada,32',2008-10,4.7%
State,New Hampshire,33',2008-10,3.2%
State,New Jersey,34',2008-10,3.2%
State,New Mexico,35',2008-10,3.3%
State,New York,36',2008-10,3.4%
State,North Carolina,37',2008-10,4.4%
State,North Dakota,38',2008-10,1.9%
State,Ohio,39',2008-10,3.8%
State,Oklahoma,40',2008-10,3.9%
State,Oregon,41',2008-10,2.2%
State,Pennsylvania,42',2008-10,3.7%
State,Rhode Island,44',2008-10,4.1%
State,South Carolina,45',2008-10,4.7%
State,South Dakota,46',2008-10,1.8%
State,Tennessee,47',2008-10,4.8%
State,Texas,48',2008-10,4.6%
State,Utah,49',2008-10,2.8%
State,Vermont,50',2008-10,2.4%
State,Virginia,51',2008-10,3.3%
State,Washington,53',2008-10,2.2%
State,West Virginia,54',2008-10,4.5%
State,Wisconsin,55',2008-10,2.4%
State,Wyoming,56',2008-10,2.4%
National,United States,-----,2008-11,3.9%
State,Alabama,01',2008-11,4.7%
State,Alaska,02',2008-11,1.6%
State,Arizona,04',2008-11,4.6%
State,Arkansas,05',2008-11,4.1%
State,California,06',2008-11,3.8%
State,Colorado,08',2008-11,2.8%
State,Connecticut,09',2008-11,3.4%
State,Delaware,10',2008-11,3.9%
State,District of Columbia,11',2008-11,3.2%
State,Florida,12',2008-11,5.2%
State,Georgia,13',2008-11,5.3%
State,Hawaii,15',2008-11,2.5%
State,Idaho,16',2008-11,3.0%
State,Illinois,17',2008-11,3.6%
State,Indiana,18',2008-11,4.4%
State,Iowa,19',2008-11,2.8%
State,Kansas,20',2008-11,3.2%
State,Kentucky,21',2008-11,3.7%
State,Louisiana,22',2008-11,3.9%
State,Maine,23',2008-11,3.6%
State,Maryland,24',2008-11,4.2%
State,Massachusetts,25',2008-11,3.1%
State,Michigan,26',2008-11,4.8%
State,Minnesota,27',2008-11,2.7%
State,Mississippi,28',2008-11,5.8%
State,Missouri,29',2008-11,3.9%
State,Montana,30',2008-11,2.4%
State,Nebraska,31',2008-11,2.4%
State,Nevada,32',2008-11,5.2%
State,New Hampshire,33',2008-11,3.1%
State,New Jersey,34',2008-11,3.4%
State,New Mexico,35',2008-11,3.4%
State,New York,36',2008-11,3.4%
State,North Carolina,37',2008-11,4.3%
State,North Dakota,38',2008-11,1.6%
State,Ohio,39',2008-11,3.8%
State,Oklahoma,40',2008-11,3.9%
State,Oregon,41',2008-11,2.2%
State,Pennsylvania,42',2008-11,3.8%
State,Rhode Island,44',2008-11,3.8%
State,South Carolina,45',2008-11,4.6%
State,South Dakota,46',2008-11,1.9%
State,Tennessee,47',2008-11,4.7%
State,Texas,48',2008-11,4.5%
State,Utah,49',2008-11,3.0%
State,Vermont,50',2008-11,2.1%
State,Virginia,51',2008-11,3.3%
State,Washington,53',2008-11,2.3%
State,West Virginia,54',2008-11,4.2%
State,Wisconsin,55',2008-11,2.5%
State,Wyoming,56',2008-11,2.5%
National,United States,-----,2008-12,4.2%
State,Alabama,01',2008-12,5.2%
State,Alaska,02',2008-12,2.1%
State,Arizona,04',2008-12,5.0%
State,Arkansas,05',2008-12,4.3%
State,California,06',2008-12,4.1%
State,Colorado,08',2008-12,2.9%
State,Connecticut,09',2008-12,3.6%
State,Delaware,10',2008-12,4.2%
State,District of Columbia,11',2008-12,3.1%
State,Florida,12',2008-12,5.5%
State,Georgia,13',2008-12,5.6%
State,Hawaii,15',2008-12,2.7%
State,Idaho,16',2008-12,3.3%
State,Illinois,17',2008-12,3.9%
State,Indiana,18',2008-12,4.7%
State,Iowa,19',2008-12,3.0%
State,Kansas,20',2008-12,3.3%
State,Kentucky,21',2008-12,4.2%
State,Louisiana,22',2008-12,4.2%
State,Maine,23',2008-12,4.2%
State,Maryland,24',2008-12,4.4%
State,Massachusetts,25',2008-12,3.4%
State,Michigan,26',2008-12,5.0%
State,Minnesota,27',2008-12,3.0%
State,Mississippi,28',2008-12,6.5%
State,Missouri,29',2008-12,4.2%
State,Montana,30',2008-12,2.8%
State,Nebraska,31',2008-12,2.7%
State,Nevada,32',2008-12,5.6%
State,New Hampshire,33',2008-12,3.7%
State,New Jersey,34',2008-12,3.7%
State,New Mexico,35',2008-12,3.6%
State,New York,36',2008-12,3.7%
State,North Carolina,37',2008-12,4.7%
State,North Dakota,38',2008-12,2.1%
State,Ohio,39',2008-12,4.0%
State,Oklahoma,40',2008-12,4.2%
State,Oregon,41',2008-12,2.6%
State,Pennsylvania,42',2008-12,4.1%
State,Rhode Island,44',2008-12,4.1%
State,South Carolina,45',2008-12,4.9%
State,South Dakota,46',2008-12,2.0%
State,Tennessee,47',2008-12,5.2%
State,Texas,48',2008-12,4.6%
State,Utah,49',2008-12,3.3%
State,Vermont,50',2008-12,2.4%
State,Virginia,51',2008-12,3.5%
State,Washington,53',2008-12,2.6%
State,West Virginia,54',2008-12,5.0%
State,Wisconsin,55',2008-12,2.6%
State,Wyoming,56',2008-12,2.5%
National,United States,-----,2009-01,4.2%
State,Alabama,01',2009-01,5.2%
State,Alaska,02',2009-01,2.3%
State,Arizona,04',2009-01,5.0%
State,Arkansas,05',2009-01,4.5%
State,California,06',2009-01,4.1%
State,Colorado,08',2009-01,2.9%
State,Connecticut,09',2009-01,3.7%
State,Delaware,10',2009-01,4.3%
State,District of Columbia,11',2009-01,3.2%
State,Florida,12',2009-01,5.4%
State,Georgia,13',2009-01,5.6%
State,Hawaii,15',2009-01,2.6%
State,Idaho,16',2009-01,3.5%
State,Illinois,17',2009-01,4.0%
State,Indiana,18',2009-01,4.8%
State,Iowa,19',2009-01,3.0%
State,Kansas,20',2009-01,3.3%
State,Kentucky,21',2009-01,4.3%
State,Louisiana,22',2009-01,4.4%
State,Maine,23',2009-01,4.0%
State,Maryland,24',2009-01,4.6%
State,Massachusetts,25',2009-01,3.5%
State,Michigan,26',2009-01,5.1%
State,Minnesota,27',2009-01,3.1%
State,Mississippi,28',2009-01,6.5%
State,Missouri,29',2009-01,4.2%
State,Montana,30',2009-01,2.7%
State,Nebraska,31',2009-01,2.6%
State,Nevada,32',2009-01,5.6%
State,New Hampshire,33',2009-01,4.0%
State,New Jersey,34',2009-01,3.8%
State,New Mexico,35',2009-01,3.7%
State,New York,36',2009-01,3.8%
State,North Carolina,37',2009-01,4.8%
State,North Dakota,38',2009-01,2.1%
State,Ohio,39',2009-01,4.1%
State,Oklahoma,40',2009-01,4.3%
State,Oregon,41',2009-01,2.7%
State,Pennsylvania,42',2009-01,4.1%
State,Rhode Island,44',2009-01,4.3%
State,South Carolina,45',2009-01,5.1%
State,South Dakota,46',2009-01,2.5%
State,Tennessee,47',2009-01,5.2%
State,Texas,48',2009-01,4.7%
State,Utah,49',2009-01,3.3%
State,Vermont,50',2009-01,2.7%
State,Virginia,51',2009-01,3.7%
State,Washington,53',2009-01,2.8%
State,West Virginia,54',2009-01,4.7%
State,Wisconsin,55',2009-01,2.7%
State,Wyoming,56',2009-01,2.8%
National,United States,-----,2009-02,3.9%
State,Alabama,01',2009-02,4.6%
State,Alaska,02',2009-02,2.4%
State,Arizona,04',2009-02,4.8%
State,Arkansas,05',2009-02,4.1%
State,California,06',2009-02,4.0%
State,Colorado,08',2009-02,2.7%
State,Connecticut,09',2009-02,3.4%
State,Delaware,10',2009-02,3.8%
State,District of Columbia,11',2009-02,3.3%
State,Florida,12',2009-02,5.0%
State,Georgia,13',2009-02,5.3%
State,Hawaii,15',2009-02,2.3%
State,Idaho,16',2009-02,3.5%
State,Illinois,17',2009-02,3.7%
State,Indiana,18',2009-02,4.3%
State,Iowa,19',2009-02,2.6%
State,Kansas,20',2009-02,3.1%
State,Kentucky,21',2009-02,3.9%
State,Louisiana,22',2009-02,4.0%
State,Maine,23',2009-02,3.6%
State,Maryland,24',2009-02,4.4%
State,Massachusetts,25',2009-02,3.2%
State,Michigan,26',2009-02,4.6%
State,Minnesota,27',2009-02,3.0%
State,Mississippi,28',2009-02,5.7%
State,Missouri,29',2009-02,3.8%
State,Montana,30',2009-02,2.9%
State,Nebraska,31',2009-02,2.4%
State,Nevada,32',2009-02,5.4%
State,New Hampshire,33',2009-02,3.7%
State,New Jersey,34',2009-02,3.6%
State,New Mexico,35',2009-02,3.3%
State,New York,36',2009-02,3.6%
State,North Carolina,37',2009-02,4.4%
State,North Dakota,38',2009-02,1.8%
State,Ohio,39',2009-02,3.7%
State,Oklahoma,40',2009-02,3.8%
State,Oregon,41',2009-02,2.6%
State,Pennsylvania,42',2009-02,3.7%
State,Rhode Island,44',2009-02,4.1%
State,South Carolina,45',2009-02,4.6%
State,South Dakota,46',2009-02,2.0%
State,Tennessee,47',2009-02,4.7%
State,Texas,48',2009-02,4.3%
State,Utah,49',2009-02,3.3%
State,Vermont,50',2009-02,2.5%
State,Virginia,51',2009-02,3.3%
State,Washington,53',2009-02,2.6%
State,West Virginia,54',2009-02,4.3%
State,Wisconsin,55',2009-02,2.6%
State,Wyoming,56',2009-02,2.5%
National,United States,-----,2009-03,3.7%
State,Alabama,01',2009-03,4.2%
State,Alaska,02',2009-03,2.2%
State,Arizona,04',2009-03,4.6%
State,Arkansas,05',2009-03,3.5%
State,California,06',2009-03,3.9%
State,Colorado,08',2009-03,2.7%
State,Connecticut,09',2009-03,3.3%
State,Delaware,10',2009-03,3.9%
State,District of Columbia,11',2009-03,3.6%
State,Florida,12',2009-03,4.8%
State,Georgia,13',2009-03,5.0%
State,Hawaii,15',2009-03,2.3%
State,Idaho,16',2009-03,3.6%
State,Illinois,17',2009-03,3.5%
State,Indiana,18',2009-03,3.9%
State,Iowa,19',2009-03,2.6%
State,Kansas,20',2009-03,2.9%
State,Kentucky,21',2009-03,3.3%
State,Louisiana,22',2009-03,3.9%
State,Maine,23',2009-03,3.4%
State,Maryland,24',2009-03,4.1%
State,Massachusetts,25',2009-03,3.1%
State,Michigan,26',2009-03,4.4%
State,Minnesota,27',2009-03,2.8%
State,Mississippi,28',2009-03,5.2%
State,Missouri,29',2009-03,3.6%
State,Montana,30',2009-03,2.7%
State,Nebraska,31',2009-03,2.4%
State,Nevada,32',2009-03,5.3%
State,New Hampshire,33',2009-03,3.4%
State,New Jersey,34',2009-03,3.5%
State,New Mexico,35',2009-03,3.0%
State,New York,36',2009-03,3.3%
State,North Carolina,37',2009-03,4.1%
State,North Dakota,38',2009-03,1.7%
State,Ohio,39',2009-03,3.4%
State,Oklahoma,40',2009-03,3.5%
State,Oregon,41',2009-03,2.6%
State,Pennsylvania,42',2009-03,3.5%
State,Rhode Island,44',2009-03,3.6%
State,South Carolina,45',2009-03,4.1%
State,South Dakota,46',2009-03,1.8%
